"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
696.38825,-8204.3802,530.25674,3383.8613,955.21397,449.82003,-2238.4295,5318.481,-668.17441,-6343.9949,-4176.1544,-692.52609
555.08857,-8210.029,2508.7174,3413.6649,799.2424,2426.9846,-2096.4891,5301.5867,1310.0959,-6373.3485,-4057.1662,1287.1842
-1869.8886,-8185.4301,-356.57446,3214.4858,-1600.2171,-453.117,283.62093,4845.5581,-1556.8631,-6748.5841,-1632.9286,-1554.6028
-1768.826,-8202.7302,1334.5251,3264.17,-1512.4459,1238.0592,188.54704,4882.5984,134.33479,-6749.2688,-1752.3062,135.43735
-1876.8326,-8191.0865,2506.4264,3265.6267,-1628.1196,2409.1879,293.78926,4853.6322,1306.1402,-6755.9194,-1655.5464,1308.2901
-4437.0183,-8206.4392,578.79294,3114.1478,-4171.6033,465.34475,2814.7586,4413.9954,-623.27228,-7192.8361,886.29277,-594.49326
-4473.8911,-8173.0908,2540.3253,3110.3066,-4220.561,2426.6565,2846.7706,4377.3795,1337.9753,-7166.5999,908.54592,1367.2728
-5180.016,-4738.805,-586.67255,-406.18083,-4721.2264,-647.76992,2932.5992,867.98882,-1784.5699,-3894.8684,2202.4544,-1746.4195
-5358.7873,-4644.1327,1089.2194,-483.34887,-4906.6325,1028.3662,3093.2137,745.5685,-108.55797,-3831.3568,2377.6637,-68.601197
-5334.4763,-2249.6256,-665.80187,-2900.8284,-4743.2022,-686.86714,2644.9838,-1609.3473,-1859.9527,-1465.3816,2766.075,-1819.2923
-5556.5799,-2284.9559,1138.4653,-2848.3119,-4979.5031,1115.274,2871.3589,-1611.2102,-55.777196,-1537.4486,2961.3677,-12.930956
-5101.7903,859.16108,-668.77782,-5992.485,-4346.0466,-637.43659,1866.8769,-4628.0647,-1857.974,1638.9985,3049.0274,-1818.8141
-5240.8062,948.71792,1090.5546,-6061.1169,-4492.5038,1122.4979,1989.4276,-4738.2144,-98.437055,1703.9009,3183.6114,-58.033858
-4480.3207,3078.3808,-677.46145,-8175.4476,-3607.9584,-605.79334,863.35191,-6702.6068,-1862.8743,3930.194,2802.475,-1829.7076
-4524.634,3191.304,1050.3254,-8262.9136,-3658.3364,1123.2837,888.50374,-6819.0629,-134.92025,4033.8828,2847.7548,-101.28173
-2084.3369,3157.7223,-61.055812,-8117.8198,-1215.3869,26.228001,-1508.4519,-6356.6483,-1245.272,4403.5913,446.29717,-1236.5793
-2080.2421,3161.6384,1088.9063,-8103.1774,-1219.1535,1176.0793,-1512.198,-6358.248,-95.295576,4407.9584,431.5979,-86.713532
-2077.0233,3166.5987,2238.8305,-8089.553,-1223.7317,2326.0106,-1515.2871,-6360.9706,1054.6318,4413.2653,417.92279,1063.1227
694.77502,2967.8673,-673.71466,-7790.4185,1554.1918,-572.69047,-4210.893,-5679.8414,-1857.1665,4674.7402,-2320.0111,-1876.8894
723.43273,3000.1344,762.93666,-7798.3766,1574.4593,864.43409,-4243.6178,-5704.8035,-420.41886,4711.3067,-2357.0482,-440.45725
