"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
-2821.7138,1043.3084,-878.95726,2024.8976,5946.4332,-767.69589,3490.9609,-2415.662,-1036.3833,-4406.6831,-2970.4543,-899.00256
-2815.8234,1039.4932,423.27705,1996.0544,5909.276,533.64174,3425.1822,-2415.1245,264.16479,-4429.159,-2938.467,402.66286
-2877.3837,1042.3594,1894.4642,1961.3103,5935.9903,2005.4526,3418.9434,-2422.4168,1736.6022,-4463.1127,-2970.3765,1874.4342
-1235.518,1950.0196,-824.08826,3139.6269,4498.6622,-724.89007,1895.3158,-3307.0841,-1057.3922,-5282.4883,-1366.1293,-894.07169
-1212.4356,1996.9443,479.80633,3163.365,4451.4893,578.94233,1811.8267,-3357.1874,244.00486,-5355.3595,-1315.9074,407.86469
-1240.0188,2045.8165,1940.9713,3178.966,4450.8502,2041.1008,1771.5498,-3410.0203,1704.7642,-5434.3452,-1313.0355,1867.9638
165.82926,2800.8024,-786.08145,4173.9196,3226.6587,-696.36616,485.64012,-4144.3555,-1086.3431,-6105.6046,51.991963,-901.23814
218.6618,2854.4869,532.46599,4208.1359,3150.4508,621.5997,371.57826,-4200.875,228.18994,-6184.8789,132.42176,414.59855
140.5401,2852.558,2006.1653,4166.2654,3192.6341,2096.1896,381.73431,-4203.4932,1703.8911,-6214.4189,83.979441,1889.2075
1821.4907,1869.1475,574.21822,3451.8698,1427.1807,607.7128,-1222.0172,-3200.1437,199.03161,-5168.9422,1716.2386,444.98318
4410.6295,-2058.6808,783.81941,-86.583943,-1679.4082,673.80346,-3780.1622,752.03095,301.17388,-1195.0349,4231.7056,684.75778
5148.1779,-3505.6846,-863.94952,-1385.5023,-2569.3141,-1021.6029,-4427.3872,2210.3563,-1374.5231,299.56736,4907.663,-947.04387
3538.5214,-4261.5336,-511.76723,-2362.0359,-1086.9946,-653.65829,-2828.3055,2949.6353,-946.31456,1015.7374,3290.8056,-547.69909
3520.3614,-4252.9085,637.98012,-2378.8557,-1094.9939,496.2354,-2863.2173,2937.9137,202.9962,983.47769,3295.9554,601.82582
3502.1809,-4245.5539,1787.9822,-2396.984,-1103.1761,1646.2047,-2898.0758,2927.4711,1352.5988,952.49331,3301.0102,1751.5641
1860.6088,-5525.7828,22.21204,-3855.2042,388.73006,-114.19939,-1164.7692,4196.2453,-331.92772,2235.1089,1599.5758,45.170343
-272.84488,-5187.8582,-255.79975,-3808.144,2554.2088,-340.29185,975.78243,3838.211,-512.5294,1860.1048,-531.83302,-197.65621
-1138.7324,-3877.2983,-556.11458,-2623.332,3598.3366,-592.53327,1841.9724,2520.219,-776.60963,538.8069,-1377.4175,-507.66331
-2192.0455,-1896.1175,545.86584,-827.90028,4886.8244,576.09846,2824.5151,526.08199,366.75333,-1484.7793,-2369.8909,573.62076
-3096.2413,-588.10694,-1186.1139,377.66722,6002.1121,-1106.4544,3794.8809,-786.10789,-1325.7838,-2775.2105,-3282.9331,-1166.9313
